a,omega,l,m,lambda,ref_ratio,calc_ratio,rel_error_%
0.0,0.3,2,2,4.0,0.004023369364,0.005191897697566732,29.043526155525296
0.0,0.3,3,2,10.0,0.0010795130861,0.0010795087214729583,0.0004043144171136505
0.0,0.3,3,3,10.0,0.0010795130861,0.0010795087214729583,0.0004043144171136505
0.0,0.3,4,4,18.0,0.0003599820014,0.00035998200099843735,1.1155076618142433e-07
0.3,0.3,2,2,3.402100216,N/A,0.005979921450673196,N/A
0.3,0.3,3,2,9.5248006198,N/A,0.0011465525536920981,N/A
0.3,0.3,3,3,9.2840133346,0.0011818699558,0.0011818708097094768,7.225071358946918e-05
0.3,0.3,4,4,17.141170617,0.00038704603307,0.00038704603331121424,6.232184295835332e-08
0.5,0.3,2,2,3.0057556875,0.0046404595676,0.006499627144037862,40.064298575483654
0.5,0.3,3,2,9.2133343732,0.0011939593901,0.001193959889609622,4.183639964431825e-05
0.5,0.3,3,3,8.8110796095,0.0012563812435,0.001256381540674925,2.3653244299576898e-05
0.5,0.3,4,4,16.574315534,0.00040643608832,0.00040643608906811875,1.8406799127899836e-07
0.7,0.3,2,2,2.6111290244,0.0049479415118,0.007044319164130099,42.36868296301794
0.7,0.3,3,2,8.9061310863,0.0012436921926,0.0012436918619927605,2.658272211312686e-05
0.7,0.3,3,3,8.3415807328,0.0013364069666,0.0013363889889689887,0.001345221288166538
0.7,0.3,4,4,16.011964673,0.0004269898529,0.0004269898506002146,5.386042189358988e-07
0.9,0.3,2,2,2.2181476863,0.0050729650912,0.007633729080913229,50.47864402133082
0.9,0.3,3,2,8.6031842218,0.0012958945422,0.0012958920836853099,0.00018971564507473811
0.9,0.3,3,3,7.8754490979,0.0014224642772,0.0014223445674968773,0.008415656198996277
0.9,0.3,4,4,15.454070524,0.00044878717146,0.00044878711510867083,1.2556359167826348e-05
0.0,0.4,2,2,4.0,0.011810821027,0.009320474019743846,21.085299671912082
0.0,0.4,3,2,10.0,0.0034105242095,0.0034094572164246736,0.03128531011022828
0.0,0.4,3,3,10.0,0.0034105242095,0.0034094572164246736,0.03128531011022828
0.0,0.4,4,4,18.0,0.0011376766885,0.0011376765322181404,1.373693081804552e-05
0.3,0.4,2,2,3.20370863,0.012467854317,0.016243947586080925,30.286632912707347
0.3,0.4,3,2,9.368534336,0.0036960716713,0.0036959963879450806,0.002036847810716249
0.3,0.4,3,3,9.0471129236,0.003849094789,0.0038491657427582693,0.0018433881771943155
0.3,0.4,4,4,16.85717712,0.0012533938066,0.0012533938361924842,2.360988551497183e-06
0.5,0.4,2,2,2.676783935,0.013032604761,0.02082311841887249,59.77710366223612
0.5,0.4,3,2,8.957035835,0.0039020823253,0.0039021426701768285,0.0015464788233016608
0.5,0.4,3,3,8.4195948733,0.0041778032033,0.004178045469006455,0.005798877895058894
0.5,0.4,4,4,16.105379027,0.0013383340439,0.0013383342144779996,1.2745547378056192e-05
0.7,0.4,2,2,2.1528057473,0.013496899545,0.0240011951323463,77.8274710597344
0.7,0.4,3,2,8.5531062668,0.0041218152676,0.004121842121448034,0.0006515053754193363
0.7,0.4,3,3,7.798083071,0.0045406683012,0.0045397179345127905,0.02093010597049141
0.7,0.4,4,4,15.361518063,0.0014301831942,0.0014301835588912707,2.54996193600129e-05
0.9,0.4,2,2,1.6316056936,0.014171721959,0.026729172639445187,88.60920865350707
0.9,0.4,3,2,8.1567228067,0.0043564810666,0.004356343167464455,0.0031653789707167244
0.9,0.4,3,3,7.1824154063,0.0049461681088,0.004937887763963803,0.16740928844422356
0.9,0.4,4,4,14.625479139,0.0015295900962,0.0015295845951252595,0.00035964372116081275
0.0,0.5,2,2,4.0,0.024320990006,0.005030064630108533,79.31801037347735
0.0,0.5,3,2,10.0,0.0073436919675,0.008205778702510358,11.739146179136876
0.0,0.5,3,3,10.0,0.0073436919675,0.008205778702510358,11.739146179136876
0.0,0.5,4,4,18.0,0.002777399137,0.0027773727924693863,0.0009485323971952543
0.3,0.5,2,2,3.0057556875,0.046708157811,0.012147070793547172,73.99368469486829
0.3,0.5,3,2,9.2133343732,0.0075011894923,0.009181741682589164,22.40380931603257
0.3,0.5,3,3,8.8110796095,0.0096736934319,0.00967439997090078,0.007303715026253688
0.3,0.5,4,4,16.574315534,0.0031357240799,0.003135725245762603,3.7180012442624486e-05
0.5,0.5,2,2,2.3489630694,N/A,0.02638746581628509,N/A
0.5,0.5,3,2,8.7036941037,N/A,0.0098479049056152,N/A
0.5,0.5,3,3,8.0304563782,0.01071024104,0.010733581095098657,0.21792278074309995
0.5,0.5,4,4,15.639543026,0.0034052282822,0.0034052396687728184,0.00033438500666252907
0.7,0.5,2,2,1.6966094016,0.021203896093,0.05598832350471564,164.04733950379503
0.7,0.5,3,2,8.2058590864,0.010550162417,0.01055414500108068,0.03774903099370221
0.7,0.5,3,3,7.2590598601,0.0081565319461,0.011917758933655095,46.11306634253427
0.7,0.5,4,4,14.717060251,0.0037025560575,0.00370260792746515,0.0014009231553647101
0.9,0.5,2,2,1.0483733823,0.036413800884,0.0715684621447999,96.54213624331271
0.9,0.5,3,2,7.7197700678,0.011322291298,0.011317384948000133,0.043333543279647536
0.9,0.5,3,3,6.496570189,0.0083335521013,0.013253071414938995,59.032682028490214
0.9,0.5,4,4,13.806637655,0.0040312488982,0.004031125292497911,0.0030661887968220867
